comment_id,commenter_type,coalition,cluster_id
HHS-ONC-2026-0001-0097,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0098,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0099,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0100,LAB,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0101,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0103,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0102,POL,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0104,IND,Selective Universalists,2
HHS-ONC-2026-0001-0105,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0108,IND,Selective Universalists,2
HHS-ONC-2026-0001-0106,IND,Selective Universalists,2
HHS-ONC-2026-0001-0107,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0109,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0111,IND,Selective Universalists,2
HHS-ONC-2026-0001-0110,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0112,IND,Selective Universalists,2
HHS-ONC-2026-0001-0114,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0115,IND,Selective Universalists,2
HHS-ONC-2026-0001-0113,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0116,TEC,Selective Universalists,2
HHS-ONC-2026-0001-0117,IND,Limited Engagement,1
HHS-ONC-2026-0001-0118,IND,Selective Universalists,2
HHS-ONC-2026-0001-0119,IND,Selective Universalists,2
HHS-ONC-2026-0001-0120,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0121,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0122,TEC,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0123,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0124,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0126,IND,Selective Universalists,2
HHS-ONC-2026-0001-0125,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0127,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0128,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0130,IND,Selective Universalists,2
HHS-ONC-2026-0001-0129,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0131,HSP,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0132,IND,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0133,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0134,ADV,Limited Engagement,1
HHS-ONC-2026-0001-0135,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0136,TEC,Limited Engagement,1
HHS-ONC-2026-0001-0137,MPS,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0138,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0139,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0140,MPS,Limited Engagement,1
HHS-ONC-2026-0001-0141,HSP,Limited Engagement,1
HHS-ONC-2026-0001-0142,ADV,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0143,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0144,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0145,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0146,HIT,Limited Engagement,1
HHS-ONC-2026-0001-0147,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0148,POL,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0150,IND,Limited Engagement,1
HHS-ONC-2026-0001-0149,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0151,IND,Limited Engagement,1
HHS-ONC-2026-0001-0152,HIT,Selective Universalists,2
HHS-ONC-2026-0001-0153,ADV,Selective Universalists,2
HHS-ONC-2026-0001-0154,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0155,MPS,Selective Universalists,2
HHS-ONC-2026-0001-0156,HIT,Comprehensive Pragmatists,0
HHS-ONC-2026-0001-0157,HSP,Comprehensive Pragmatists,0
